NAME,SURNAME,EMAIL_ID,MARKS,PREF1,PREF2,PREF3,ALLOTMENT,PSWD,GENDER
Meghna,Sahasrabuddhe,meghna.sahasrabuddhe@gmail.com,166,0,0,0,Computer,p,F
Kedar,Kokane,kedar.kokane@gmail.com,189,2,1,3,Mechanical,p,M
Abhishek,Gadkari,abhishek.gadkari@gmail.com,150,1,1,3,IT,p,M
Manalee,Mudgal,manalee.mudgal@gmail.com,162,3,1,1,Electronics,p,F
Aarav,Desai,aarav.desai@gmail.com,164,0,2,1,Computer,p,M
Abhimanyu,Deshpande,abhimanyu.deshpande@gmail.com,154,0,1,1,Computer,p,M
Prajwal,Gokhale,prajwal.gokhale@gmail.com,123,1,0,0,-,p,M
Rushabh,Bhise,rushabh.bhise@gmail.com,138,0,1,1,-,p,M
Snehalata,Sarkar,snehalata.sarkar@gmail.com,149,1,2,2,IT,p,F
Madhur,Shinde,madhur.shinde@gmail.com,131,0,1,3,Electronics,p,M
Rakesh,Bhalerao,rakesh.bhalerao@gmail.com,122,0,1,2,-,p,M
Param,Dravid,param.dravid@gmail.com,108,0,2,0,-,p,M
Mandira,Kanitkar,mandira.kanitkar@gmail.com,102,0,0,1,-,p,F
Vijay,Ingale,vijay.ingale@gmail.com,100,2,0,3,-,p,M
Vandana,Karmarkar,vandana.karmarkar@gmail.com,144,1,1,3,IT,p,F
Harish,Nene,harish.nene@gmail.com,68,0,0,2,-,p,M
Lalit,Sardesai,lalit.sardesai@gmail.com,120,1,3,2,Electronics,p,M
Preeti,Rege,preeti.rege@gmail.com,135,0,1,3,Electronics,p,F
Abhijeet,Chitnis,abhijeet.chitnis@gmail.com,165,0,3,2,Computer,p,M
Aasawari,Rajgopalan,aasawari.rajgopalan@gmail.com,128,0,2,3,Electronics,p,F
Bhavesh,Paranjape,bhavesh.paranjape@gmail.com,151,2,2,1,Mechanical,p,M
Suraj,Pawar,suraj.pawar@gmail.com,158,3,1,2,Electronics,p,M
Nikita,Lokhande,nikita.lokhande@gmail.com,133,1,0,2,-,p,F
Aditi,Sane,aditi.sane@gmail.com,136,0,1,3,Electronics,p,F
Karan,Deshmukh,karan.deshmukh@gmail.com,178,0,3,3,Computer,p,M
Suchitra,Kamble,suchitra.kamble@gmail.com,179,0,2,3,Computer,p,F
Mayuresh,Jogalekar,mayuresh.jogalekar@gmail.com,109,1,3,1,Electronics,p,M
Rashmi,Karve,rashmi.karve@gmail.com,127,0,1,0,-,p,F
Swapnali,Vidwans,swapnali.vidwans@gmail.com,102,0,0,1,-,p,F
Ritika,Raut,ritika.raut@gmail.com,95,0,3,2,-,p,F
Harshada,Awchat,harshada.awchat@gmail.com,114,0,2,3,Electronics,p,F
Sanket,Sudake,sanket.sudake@gmail.com,136,0,2,3,Mechanical,p,M
Sumedh,Patkar,sumedh.patkar@gmail.com,159,1,1,1,IT,p,M
Ishan,Kate,ishan.kate@gmail.com,100,1,1,0,-,p,M
Kavita,Risbud,kavita.risbud@gmail.com,192,0,2,3,Computer,p,F
Tushar,Athale,tushar.athale@gmail.com,188,1,2,1,IT,p,M
Yash,Tawde,yash.tawde@gmail.com,134,0,0,1,-,p,M
Sourabh,Bhosale,sourabh.bhosale@gmail.com,124,0,2,3,Electronics,p,M
Aakriti,Tendulkar,aakriti.tendulkar@gmail.com,145,1,1,3,IT,p,F
Srishti,Rane,srishti.rane@gmail.com,120,3,2,1,Electronics,p,F
Shardul,Mhatre,shardul.mhatre@gmail.com,154,0,1,3,Computer,p,M
Ketan,Bhogade,ketan.bhogade@gmail.com,153,0,0,3,Computer,p,M
Vedika,Gokhale,vedika.gokhale@gmail.com,123,0,1,1,-,p,F
Swanand,Bhondve,swanand.bhondve@gmail.com,167,0,2,1,Computer,p,M
Tia,Sawant,tia.sawant@gmail.com,134,1,2,2,-,p,F
Smita,Bal,balsmita@gmail.com,189,0,2,3,Computer,p,F
Ashutosh,Sehgal,sehgalashutosh@gmail.com,175,1,1,2,IT,p,M
Raunak,Bagawe,bagaweraunak@gmail.com,148,2,2,2,Mechanical,p,M
Bhoomika,Tilak,tilakbhoomika@gmail.com,174,2,1,0,Mechanical,p,F
Atharva,Karmarkar,karmarkaratharva@gmail.com,147,0,3,3,Electronics,p,M
Anurag,Kapoor,kapooranurag@gmail.com,142,0,1,1,-,p,M
Shweta,Malpure,malpureshweta@gmail.com,181,0,3,2,Computer,p,F
Prasad,Moharir,moharirprasad@gmail.com,139,1,2,2,Mechanical,p,M
Savani,Patankar,patankarsavani@gmail.com,142,0,1,3,Electronics,p,F
Shreya,Mahendrakar,mahendrakarshreya@gmail.com,198,1,1,3,IT,p,F
Tanvi,Dabholkar,dabholkartanvi@gmail.com,188,1,2,3,IT,p,F
Harshad,Sane,saneharshad@gmail.com,198,0,2,2,Computer,p,M
Charuta,Singh,singhcharuta@gmail.com,140,3,0,2,Electronics,p,F
Shivani,Karmarkar,karmarkarshivani@gmail.com,180,0,2,3,Computer,p,F
Nikhil,Raut,rautnikhil@gmail.com,130,2,3,1,Electronics,p,M
Neha,Shaikh,shaikhneha@gmail.com,98,1,2,0,-,p,F
Kushal,Mahajani,mahajanikushal@gmail.com,109,3,1,0,Electronics,p,M
Sumit,Gadkari,gadkarisumit@gmail.com,166,0,0,1,Computer,p,M
Pratiksha,Salvi,salvipratiksha@gmail.com,141,0,1,3,Electronics,p,F
Abhilasha,Kulkarni,kulkarniabhilasha@gmail.com,142,1,2,3,IT,p,F
Anjali,Kanitkar,kanitkaranjali@gmail.com,156,0,2,0,Computer,p,F
Rama,Ingale,ingalerama@gmail.com,128,1,2,3,Electronics,p,F
Kavya,Malpure,malpurekavya@gmail.com,157,0,2,3,Computer,p,F
Prachiti,Athawale,athawaleprachiti@gmail.com,144,0,1,1,IT,p,F
Sai,Kulkarni,kulkarnisai@gmail.com,160,0,2,1,Computer,p,F
Bhushan,Barve,barvebhushan@gmail.com,112,0,2,2,-,p,M
Manas,Gosavi,gosavimanas@gmail.com,106,2,2,2,-,p,M
Vicky,Sonawane,sonawanevicky@gmail.com,100,1,3,0,-,p,M
Gautami,Khanvilkar,khanvilkargautami@gmail.com,120,0,3,3,Electronics,p,F
Avadhoot,Gadre,gadreavadhoot@gmail.com,135,0,3,3,Electronics,p,M
Tanaya,Agarwal,agarwaltanaya@gmail.com,165,0,1,1,Computer,p,F
Dhruv,Dharap,dharapdhruv@gmail.com,128,3,1,1,Electronics,p,M
Piyush,Rane,ranepiyush@gmail.com,151,0,1,1,Computer,p,M
Khushboo,Puranik,puranikkhushboo@gmail.com,158,0,0,0,Computer,p,F
Ankita,Agashe,agasheankita@gmail.com,133,2,1,1,-,p,F
Yukta,Shete,sheteyukta@gmail.com,136,1,1,2,Mechanical,p,F
Bhushan,Mujumdar,mujumdarbhushan@gmail.com,178,2,1,3,Mechanical,p,M
Samidha,Verma,vermasamidha@gmail.com,179,0,2,2,Computer,p,F
Avantika,Naik,naikavantika@gmail.com,109,1,1,0,-,p,F
Shweta,Nadkarni,nadkarnishweta@gmail.com,127,0,0,1,-,p,F
Raj,Sathe,satheraj@gmail.com,102,0,1,3,-,p,M
Dhruv,Kumar,kumardhruv@gmail.com,95,0,2,3,-,p,M
Sagar,Singh,singhsagar@gmail.com,114,1,1,2,-,p,M
Ananya,Jain,jainananya@gmail.com,136,3,1,2,Electronics,p,F
Uttara,Bapat,bapatuttara@gmail.com,159,0,2,3,Computer,p,F
Mohini,Kulkarni,kulkarnimohini@gmail.com,100,0,0,2,-,p,F
Aditya,Bendre,bendreaditya@gmail.com,192,2,0,3,Mechanical,p,M
Spandan,Patkar,patkarspandan@gmail.com,188,0,1,1,Computer,p,M
Mayuri,Bodhankar,bodhankarmayuri@gmail.com,134,0,0,2,-,p,F
Lisa,Chopra,chopralisa@gmail.com,124,0,3,2,Electronics,p,F
Shraddha,Bahl,bahlshraddha@gmail.com,145,1,1,3,IT,p,F
Tarika,Salunkhe,salunkhetarika@gmail.com,120,1,3,3,Electronics,p,F
Priyanka,Karthikeyan,karthikeyanpriyanka@gmail.com,154,2,2,3,Mechanical,p,F
Yogendra,Barve,barve_yogendra3@gmail.com,153,1,2,1,IT,p,M
Pravin,Ingole,ingole_pravin3@gmail.com,123,3,1,0,Electronics,p,M
Saurabh,Salvi,salvi_saurabh2@gmail.com,197,1,0,1,IT,p,M
Sheena,Raut,raut_sheena5@gmail.com,186,0,1,2,Computer,p,F
Aarti,Natu,natu_aarti0@gmail.com,180,0,3,3,Computer,p,F
Anirudhha,Mohite,mohite_anirudhha4@gmail.com,136,0,2,3,Mechanical,p,M
Piyush,Pethkar,pethkar_piyush10@gmail.com,159,2,3,1,Mechanical,p,M
Aditi,Nanavare,nanavare_aditi7@gmail.com,100,3,1,0,-,p,F
Sanah,Khanvilkar,khanvilkar_sanah2@gmail.com,192,1,0,3,IT,p,F
Tanisha,Dabholkar,dabholkar_tanisha2@gmail.com,166,0,3,1,Computer,p,F
Pranali,Vaze,vaze_pranali3@gmail.com,189,0,2,1,Computer,p,F
Chirag,Paranjape,paranjape_chirag3@gmail.com,150,0,2,3,Computer,p,M
Aniket,Satam,satam_aniket8@gmail.com,162,1,1,3,IT,p,M
Sushant,Tuljapurkar,tuljapurkar_sushant0@gmail.com,164,0,1,1,Computer,p,M
Vikrant,Karmarkar,karmarkar_vikrant9@gmail.com,154,0,2,3,Computer,p,M
Jay,Tawde,tawde_jay0@gmail.com,123,0,2,3,Electronics,p,M
Anil,Walimbe,walimbe_anil4@gmail.com,138,0,0,1,-,p,M
Gouri,Salunkhe,salunkhe_gouri8@gmail.com,149,0,2,1,Mechanical,p,F
Sara,Tilak,tilak_sara6@gmail.com,131,1,0,2,-,p,F
Nupoor,Bhave,bhave_nupoor9@gmail.com,122,1,1,3,Electronics,p,F
Yogen,Paranjape,paranjape_yogen9@gmail.com,108,0,1,2,-,p,M
Malvika,Moharir,moharir_malvika5@gmail.com,102,1,2,2,-,p,F
Sharvari,Patankar,patankar_sharvari2@gmail.com,100,0,3,0,-,p,F
Arihant,Chandak,chandak_arihant4@gmail.com,144,0,3,3,Electronics,p,M
Kiran,Modak,modak_kiran9@gmail.com,68,1,0,1,-,p,M
Varada,Parashurami,parashurami_varada4@gmail.com,190,3,3,2,Electronics,p,F
Akshay,Swami,swami_akshay3@gmail.com,123,0,1,2,-,p,M
Phalguni,Tope,tope_phalguni4@gmail.com,144,0,1,3,IT,p,F
Juhi,Dange,dange_juhi5@gmail.com,136,0,1,3,Electronics,p,F
Nehal,Loya,loya_nehal4@gmail.com,109,0,0,3,Electronics,p,F
Neeta,Chaddha,chaddha_neeta4@gmail.com,121,1,0,2,-,p,F
Shivraj,Mohite,mohite_shivraj0@gmail.com,156,0,0,2,Computer,p,M
Rutvik,Patkar,patkar_rutvik6@gmail.com,155,1,2,3,IT,p,M
Isha,Natu,natu_isha5@gmail.com,178,2,1,1,Mechanical,p,F
Pranay,Shirsikar,shirsikar_pranay1@gmail.com,189,2,2,0,Mechanical,p,M
Abhimaan,Pilgaonkar,pilgaonkar_abhimaan8@gmail.com,198,0,0,0,Computer,p,M
Viren,Vaze,vaze_viren8@gmail.com,122,0,1,1,-,p,M
Siddhi,Mujumdar,mujumdar_siddhi8@gmail.com,98,0,0,3,-,p,F
Himani,Dabhekar,dabhekar_himani2@gmail.com,45,1,2,3,-,p,F
Saniya,Nadkarni,nadkarni_saniya8@gmail.com,76,0,1,0,-,p,F
Parul,Mohite,mohite_parul2@gmail.com,93,1,1,3,-,p,F
Pankaj,Barve,barve_pankaj6@gmail.com,122,1,0,3,Electronics,p,M
Pragati,Bhosale,bhosale_pragati5@gmail.com,156,0,3,1,Computer,p,F
Chetana,Dhamale,dhamale_chetana3@gmail.com,188,3,3,1,Electronics,p,F
Vishal,Nanavare,nanavare_vishal2@gmail.com,192,0,1,2,Computer,p,M
Bhakti,Deo,deo_bhakti4@gmail.com,113,2,3,2,Electronics,p,F
Swarali,Parekh,parekh_swarali8@gmail.com,134,1,1,0,-,p,F
Zoya,Mokashi,mokashi_zoya8@gmail.com,130,3,3,3,Electronics,p,F
Aradhya,Chitre,chitre_aradhya9@gmail.com,196,0,0,3,Computer,p,F
Anay,Nadkarni,anay22@gmail.com,180,0,1,1,Computer,p,M
Karishma,Mishra,karish2001@gmail.com,183,0,0,1,Computer,zb00,F
Kritika,Khanna,kriti79@gmail.com,170,0,2,2,Computer,zz00,F
Suvarna,Bhide,suvarna.b001@gmail.com,181,0,2,1,Computer,p,F
Ananya,Joshi,ananyaj@gmail.com,196,0,0,0,Computer,py20,F
Prajakta,Wadekar,-,0,-1,-1,-1,-,egpy00,Not specified
Shivam,Singhania,-,0,-1,-1,-1,-,hwxk00,Not specified
Chinmay,Purandare,chinmay2001@gmail.com,148,2,2,3,Mechanical,rwx90,M
Anish,Kale,-,0,-1,-1,-1,-,p,Not specified
Anish,Sohoni,anishs@gmail.com,127,3,1,2,Electronics,pcxhw44,M
